,média,mediana,moda,mínimo,máximo,desvio padrão
temp_ext,26.824457091274365,26.45,25.76,23.85,32.67,1.6943881934606988
umi_ext,86.8684893712331,87.87,88.09,61.36,97.35,6.60398343118714
temp_c2_larva ( s3),27.136977656513004,26.79,25.22,24.36,33.93,1.7799360548211702
umi_c2_larva(s3),87.82988475321714,88.04,88.11,80.21,94.11,2.5005349431989727
vest_temp_c2 (s4),27.074110468588806,26.76,25.28,24.38,33.22,1.70289614189629
vest_umic2 (s4),84.4026661508389,85.27,88.04,68.1,88.92,3.9732236885172116
temp_c3_larva (s5),27.167996144866155,26.8,25.22,24.43,34.02,1.7968008077453363
umi_c3_larva (s5),84.45730934734213,84.87,85.6,78.75,88.84,2.274322963754101
vest_temp_c3 (s6),27.0002131183146,26.65,25.06,24.25,33.49,1.7350375057876615
vest_umi_c3 s6,84.24794524081013,85.27,86.63,68.23,88.31,3.7753806254224354
